EPC,Frequency,Phase,RSSI,Timestamp
b'2023081808726A041A901320',902998,10,-90,1711535210.866
b'2023081808726A041A901320',902999,8,-90,1711535210.898
b'2023081808726A041A901320',902998,10,-90,1711535210.935
b'2023081808726A041A901320',902999,12,-90,1711535210.971
b'2023081808726A041A901320',902998,19,-89,1711535211.006
b'2023081808726A041A901320',902999,15,-91,1711535211.043
b'2023081808726A041A901320',902998,17,-90,1711535211.079
b'2023081808726A041A901320',902998,21,-90,1711535211.146
b'2023081808726A041A901320',902998,23,-91,1711535211.15
b'2023081808726A041A901320',902999,22,-89,1711535211.189
b'2023081808726A041A901320',902998,22,-91,1711535211.225
b'2023081808726A041A901320',902999,24,-90,1711535211.26
b'2023081808726A041A901320',902998,24,-89,1711535211.296
b'2023081808726A041A901320',902999,26,-90,1711535211.332
b'2023081808726A041A901320',902998,23,-90,1711535211.369
b'2023081808726A041A901320',902999,24,-90,1711535211.392
b'2023081808726A041A901320',902998,26,-92,1711535211.426
b'2023081808726A041A901320',902999,25,-90,1711535211.463
b'2023081808726A041A901320',902999,27,-90,1711535211.53
b'2023081808726A041A901320',902998,26,-91,1711535211.566
b'2023081808726A041A901320',902998,26,-92,1711535211.634
b'2023081808726A041A901320',902999,24,-90,1711535211.656
b'2023081808726A041A901320',902998,28,-91,1711535211.691
b'2023081808726A041A901320',902999,26,-90,1711535211.728
b'2023081808726A041A901320',902998,20,-90,1711535211.765
b'2023081808726A041A901320',902999,21,-89,1711535211.802
b'2023081808726A041A901320',902998,17,-90,1711535211.838
b'2023081808726A041A901320',902999,22,-90,1711535211.874
b'2023081808726A041A901320',902998,15,-89,1711535211.895
b'2023081808726A041A901320',902999,17,-89,1711535211.932
b'2023081808726A041A901320',902998,13,-90,1711535211.968
b'2023081808726A041A901320',902999,13,-90,1711535212.004
b'2023081808726A041A901320',902998,15,-88,1711535212.04
b'2023081808726A041A901320',902999,19,-89,1711535212.075
b'2023081808726A041A901320',902998,16,-88,1711535212.112
b'2023081808726A041A901320',902999,18,-88,1711535212.151
b'2023081808726A041A901320',902998,21,-88,1711535212.187
b'2023081808726A041A901320',902999,22,-89,1711535212.223
b'2023081808726A041A901320',902998,24,-88,1711535212.258
b'2023081808726A041A901320',902999,24,-88,1711535212.296
b'2023081808726A041A901320',902998,27,-88,1711535212.331
b'2023081808726A041A901320',902999,29,-89,1711535212.368
b'2023081808726A041A901320',902998,29,-88,1711535212.408
b'2023081808726A041A901320',902999,30,-88,1711535212.443
b'2023081808726A041A901320',902998,34,-90,1711535212.479
b'2023081808726A041A901320',902999,36,-89,1711535212.514
b'2023081808726A041A901320',902998,36,-90,1711535212.55
b'2023081808726A041A901320',902999,38,-88,1711535212.587
b'2023081808726A041A901320',902998,41,-89,1711535212.623
b'2023081808726A041A901320',902999,41,-88,1711535212.663
b'2023081808726A041A901320',902998,40,-89,1711535212.7
b'2023081808726A041A901320',902999,45,-89,1711535212.735
b'2023081808726A041A901320',902998,51,-89,1711535212.772
b'2023081808726A041A901320',902999,48,-88,1711535212.807
b'2023081808726A041A901320',902998,49,-88,1711535212.845
b'2023081808726A041A901320',902999,56,-88,1711535212.88
b'2023081808726A041A901320',902998,53,-89,1711535212.918
b'2023081808726A041A901320',902999,55,-89,1711535212.953
b'2023081808726A041A901320',902998,56,-89,1711535212.989
b'2023081808726A041A901320',902999,60,-90,1711535213.025
b'2023081808726A041A901320',902998,61,-89,1711535213.062
b'2023081808726A041A901320',902999,60,-88,1711535213.098
b'2023081808726A041A901320',902998,63,-89,1711535213.134
b'2023081808726A041A901320',902999,63,-90,1711535213.175
b'2023081808726A041A901320',902998,64,-90,1711535213.21
b'2023081808726A041A901320',902999,67,-88,1711535213.246
b'2023081808726A041A901320',902998,69,-89,1711535213.282
b'2023081808726A041A901320',902999,72,-89,1711535213.318
b'2023081808726A041A901320',902998,69,-89,1711535213.354
b'2023081808726A041A901320',902999,71,-89,1711535213.39
b'2023081808726A041A901320',902998,73,-89,1711535213.43
b'2023081808726A041A901320',902999,70,-89,1711535213.466
b'2023081808726A041A901320',902998,69,-89,1711535213.503
b'2023081808726A041A901320',902999,68,-89,1711535213.539
b'2023081808726A041A901320',902998,62,-89,1711535213.574
b'2023081808726A041A901320',902999,62,-91,1711535213.61
b'2023081808726A041A901320',902998,61,-90,1711535213.648
b'2023081808726A041A901320',902998,77,-90,1711535213.924
b'2023081808726A041A901320',902999,72,-91,1711535213.961
b'2023081808726A041A901320',902998,71,-90,1711535213.997
b'2023081808726A041A901320',902999,76,-89,1711535214.033
b'2023081808726A041A901320',902998,74,-90,1711535214.069
b'2023081808726A041A901320',902999,75,-91,1711535214.106
b'2023081808726A041A901320',902998,79,-90,1711535214.141
b'2023081808726A041A901320',902999,78,-89,1711535214.18
b'2023081808726A041A901320',902998,81,-89,1711535214.216
b'2023081808726A041A901320',902999,81,-90,1711535214.252
b'2023081808726A041A901320',902998,80,-91,1711535214.287
b'2023081808726A041A901320',902999,83,-91,1711535214.323
b'2023081808726A041A901320',902998,85,-90,1711535214.36
b'2023081808726A041A901320',902999,87,-91,1711535214.396
b'2023081808726A041A901320',902998,91,-90,1711535214.437
b'2023081808726A041A901320',902999,94,-90,1711535214.471
b'2023081808726A041A901320',902998,95,-90,1711535214.509
b'2023081808726A041A901320',902999,92,-89,1711535214.545
b'2023081808726A041A901320',902998,88,-88,1711535214.582
b'2023081808726A041A901320',902999,83,-88,1711535214.617
b'2023081808726A041A901320',902998,73,-89,1711535214.654
b'2023081808726A041A901320',902999,71,-89,1711535214.692
b'2023081808726A041A901320',902998,76,-89,1711535214.728
b'2023081808726A041A901320',902999,70,-90,1711535214.764
b'2023081808726A041A901320',902999,38,-90,1711535216.602
b'2023081808726A041A901320',902998,43,-91,1711535216.62
b'2023081808726A041A901320',902999,44,-90,1711535216.656
b'2023081808726A041A901320',902998,52,-90,1711535216.692
b'2023081808726A041A901320',902999,47,-90,1711535216.719
b'2023081808726A041A901320',902998,48,-91,1711535216.755
b'2023081808726A041A901320',902999,54,-91,1711535216.791
b'2023081808726A041A901320',902998,55,-90,1711535216.828
b'2023081808726A041A901320',902999,49,-90,1711535216.865
b'2023081808726A041A901320',902998,56,-89,1711535216.9
